Word,Count
bim,443
aufgaben,195
bieten,185
erfahrung,180
team,175
bereich,168
kenntnisse,155
revit,145
arbeiten,143
projekten,140
profil,139
projekte,129
planung,125
suchen,122
unserer,119
weiterentwicklung,113
freuen,112
erstellung,110
abgeschlossenes,109
unternehmen,106
unterstützung,105
berufserfahrung,105
studium,104
flexible,100
ausbildung,97
erfolgreich,93
zusammenarbeit,91
umsetzung,87
bau,86
architektur,84
entwicklung,81
koordination,80
kunden,80
benefits,78
arbeitszeiten,77
internen,73
gerne,72
teams,72
umgang,72
erstellen,66
arbeitsweise,66
erfahrungen,65
qualifikation,62
deutschkenntnisse,61
attraktive,61
vorteil,60
idealerweise,60
abgeschlossene,59
weitere,59
infrastruktur,59
weiterbildung,58
autodesk,58
fragen,56
3d,56
anwendung,54
standort,54
bewerben,54
vergütung,54
mindestens,52
jahre,52
abwechslungsreiche,52
bimmanager,52
altersvorsorge,52
gemeinsam,52
implementierung,52
bimprojekten,51
hohe,51
betriebliche,51
hochbau,50
digitalen,50
zukunft,50
teil,50
möglichkeit,50
digitalisierung,50
entwickeln,49
interesse,49
fundierte,49
lösungen,48
hast,47
arbeit,47
technischen,47
ansprechpartner,47
software,47
bimkoordinator,47
gruppe,46
management,46
unterstützen,46
vergleichbare,46
bringen,45
tätigkeit,45
gmbh,45
spannende,44
teamfähigkeit,44
mitarbeitenden,43
navisworks,43
mehrjährige,43
seit,43
mehr,43
mitarbeitern,43
interessante,43
bitte,43
abwicklung,42
leistungen,42
realisierung,41
wort,41
schrift,41
angebot,41
autocad,41
solibri,40
arbeitsplatz,40
bauzeichner,40
mitarbeit,40
verantwortung,40
