Word,Count
bim,2503
project,1821
experience,1313
design,1257
work,1140
team,1057
projects,867
construction,864
revit,832
support,620
skills,608
knowledge,604
information,590
management,566
required,536
working,535
ability,531
manager,516
engineering,513
coordination,505
standards,471
software,464
model,444
job,436
models,434
building,433
requirements,410
development,388
role,382
including,380
years,369
company,367
drawings,363
technical,343
coordinator,333
teams,328
provide,326
data,322
environment,316
digital,315
process,303
within,302
3d,301
insurance,298
delivery,297
ensure,296
develop,292
mep,284
must,283
position,282
systems,281
opportunity,280
training,279
benefits,279
services,276
new,266
business,260
responsibilities,259
client,258
manage,257
industry,253
use,253
clients,249
office,248
professional,245
time,242
navisworks,241
using,231
understanding,231
autocad,227
technology,224
field,224
related,221
strong,215
create,213
us,211
preferred,210
lead,206
mechanical,206
qualifications,205
plan,204
architectural,204
autodesk,202
excellent,199
communication,198
employment,198
good,196
part,194
level,194
best,194
quality,192
health,192
able,192
degree,192
well,190
assist,190
documents,189
clash,189
processes,189
review,187
cad,186
looking,184
tools,184
modeling,184
meetings,183
plans,183
please,181
staff,180
electrical,180
education,178
include,177
join,176
implementation,174
maintain,173
equal,172
responsible,171
people,171
across,171
schedule,171
andor,168
status,168
duties,168
execution,167
employee,165
minimum,161
salary,160
members,160
may,158
specialist,157
architecture,154
location,153
coordinate,151
life,150
disability,150
paid,150
apply,149
employees,148
candidates,146
one,146
production,145
career,145
providing,143
meet,143
opportunities,142
technician,142
issues,141
engineers,140
applications,140
help,139
multiple,138
essential,137
structural,136
leading,134
civil,134
group,134
detection,133
perform,133
range,131
solutions,131
complex,131
employer,131
based,131
pay,131
relevant,130
individual,130
practices,129
managers,129
401k,127
application,126
firm,124
written,124
workflows,123
senior,122
internal,121
key,121
high,121
content,120
vision,120
ensuring,119
offer,119
site,118
following,117
contractors,117
fulltime,117
tasks,117
experienced,116
produce,116
deliver,115
committed,113
candidate,113
procedures,112
engineer,112
per,112
modelling,110
planning,110
reports,109
type,108
drawing,107
learn,107
year,107
plus,107
implement,106
description,105
supporting,105
flexible,105
make,105
specific,104
culture,104
diverse,104
documentation,102
practice,102
uk,102
program,102
understand,102
dental,102
national,101
contract,100
delivering,99
communicate,99
infrastructure,99
service,98
growth,97
without,97
collaboration,97
necessary,97
computer,97
developing,96
various,96
additional,96
local,96
schedules,96
assigned,95
proficient,95
drafting,95
needed,95
detail,95
seeking,94
creating,94
vdc,94
effectively,93
successful,93
general,92
directly,92
microsoft,92
applicants,91
needs,91
build,91
others,90
global,90
limited,89
activities,89
commercial,88
specifications,88
external,87
security,87
creation,86
managing,85
verbal,85
gender,85
buildings,85
competitive,84
prepare,84
future,84
positive,84
take,83
detailed,83
need,83
discipline,83
architects,82
large,82
details,82
designer,82
plumbing,82
would,81
highly,81
value,81
proven,81
products,81
race,81
background,80
methods,80
approach,79
identify,79
package,79
full,79
collaborate,79
set,79
complete,78
installation,78
disciplines,78
iii,78
values,77
current,77
medical,77
compliance,77
improve,77
orientation,77
technologies,77
control,76
proficiency,76
facilities,76
applicable,76
equivalent,76
day,75
responsibility,75
london,75
workplace,75
religion,75
color,75
leadership,74
sexual,74
qualified,74
considered,73
contact,73
throughout,73
diversity,73
basic,73
protected,72
contractor,71
great,71
expertise,71
equipment,71
stakeholders,70
assistance,70
progress,70
regard,70
origin,70
fabrication,70
deliverables,69
department,69
director,68
advanced,68
functions,68
participate,68
receive,68
shop,68
offers,67
available,67
sex,67
consultants,66
designers,66
deadlines,66
levels,66
way,66
age,66
system,66
compensation,66
safety,65
healthcare,65
collaborative,65
sectors,65
operations,65
structure,65
power,65
inclusive,64
conduct,64
right,63
recruitment,63
setup,63
scope,63
closely,63
different,63
innovation,63
consultancy,63
identity,63
suite,63
effective,63
know,63
provides,63
multidisciplinary,62
like,62
direct,62
accurate,61
designs,61
every,61
variety,61
world,61
locations,61
standard,60
works,60
changes,59
goals,59
date,59
promote,59
regional,59
previous,59
manner,59
hour,59
innovative,58
appropriate,58
energy,58
want,58
performance,58
excellence,58
2d,58
individuals,58
read,57
authoring,57
potential,57
customers,57
holidays,57
permanent,57
offices,57
order,57
relationships,56
dynamo,56
water,56
teecom,56
maintaining,55
commitment,55
reviews,55
communities,55
focus,55
track,55
better,55
bim360,55
efficient,55
attend,55
veteran,55
sharing,54
international,54
associated,54
reporting,54
document,54
organization,54
ii,54
piping,54
member,53
maintenance,53
accordance,53
contribute,53
impact,53
similar,53
overall,53
guidance,53
grow,53
require,53
problems,53
account,53
comprehensive,53
environmental,52
studio,52
believe,52
travel,52
care,52
familiarity,52
trades,52
bluebeam,52
we’re,51
report,51
strategy,51
possess,51
liaise,51
success,51
shift,51
united,51
sustainable,50
associate,50
point,50
exciting,50
fully,50
together,50
growing,50
demonstrate,50
successfully,50
architect,50
state,50
existing,50
types,50
virtual,50
personal,49
user,49
wide,49
primary,49
asset,49
phases,49
excel,49
monday,49
friday,49
layout,49
oversee,48
days,48
line,48
attitude,48
leave,48
workflow,48
made,48
coordinating,48
clearance,48
independently,48
problem,48
layouts,48
physical,48
sector,47
get,47
bep,47
integrated,47
family,47
open,47
hdr,47
coordinators,46
record,46
desirable,46
backgrounds,46
exceptional,46
around,46
consulting,46
platforms,46
change,46
expert,46
access,46
making,46
interpersonal,45
major,45
used,45
least,45
involved,45
direction,45
inclusion,45
criteria,45
word,45
bonus,45
hours,45
resources,45
solving,45
bimvdc,45
scheme,44
iso,44
solibri,44
leader,44
achieve,44
currently,44
creative,44
match,44
inhouse,44
producing,44
subcontractors,44
customer,44
families,44
university,44
onsite,44
vdcbim,44
law,44
programme,43
implementing,43
cv,43
coordinated,43
qualification,43
network,43
conditions,43
outside,43
programs,43
built,42
protocols,42
facilitate,42
cobie,42
learning,42
encourage,42
companies,42
files,42
research,42
add,42
decisions,42
action,42
aspects,41
clear,41
resolve,41
small,41
along,41
industrial,41
find,41
sets,41
firms,41
bentley,41
associates,41
fluor,41
place,40
professionals,40
passionate,40
top,40
templates,40
trade,40
cost,40
manufacturing,40
4d,40
located,40
interface,40
materials,40
codes,40
savings,40
bachelor’s,40
organizational,40
u007c,40
